,Edad,Genero,Vivienda,Ecivil,Ubicacion,Salario,Hijos,Catalogos,Monto,Historial
34,Adulta,Femenino,Propia,Casado,Cerca,111500,0,18,2510.0,Alto
35,Media,Masculino,Propia,Casado,Cerca,126500,2,18,2000.0,Alto
36,Media,Femenino,Propia,Casado,Cerca,83300,1,24,2574.0,Alto
37,Media,Femenino,Propia,Casado,Cerca,90500,1,6,1116.0,Alto
38,Media,Femenino,Propia,Casado,Lejos,87200,0,18,3604.0,Alto
39,Media,Femenino,Propia,Soltero,Lejos,56000,3,6,530.0,Medio
40,Media,Femenino,Alquilada,Soltero,Cerca,46600,0,24,906.0,Medio
41,Adulta,Masculino,Alquilada,Casado,Cerca,69800,0,24,2764.0,Alto
42,Media,Masculino,Propia,Soltero,Cerca,60300,0,24,1263.0,Alto
43,Joven,Masculino,Alquilada,Casado,Cerca,67800,0,12,1084.0,Alto
44,Media,Masculino,Alquilada,Soltero,Cerca,42300,0,24,1051.0,Medio
45,Media,Masculino,Propia,Soltero,Cerca,62700,2,12,704.0,Medio
46,Joven,Femenino,Propia,Soltero,Cerca,15600,1,6,136.0,Bajo
47,Adulta,Femenino,Propia,Soltero,Cerca,14600,0,24,468.0,Bajo
48,Adulta,Femenino,Propia,Casado,Cerca,62600,0,6,565.0,Alto
49,Media,Femenino,Propia,Soltero,Cerca,51300,0,24,1424.0,Medio
50,Media,Masculino,Propia,Soltero,Lejos,72300,0,24,4182.0,Alto
51,Joven,Masculino,Alquilada,Soltero,Cerca,15000,3,6,38.0,Bajo
52,Joven,Femenino,Alquilada,Casado,Cerca,60600,3,12,307.0,Bajo
53,Media,Masculino,Propia,Casado,Lejos,84300,2,18,1648.0,Alto
54,Joven,Femenino,Propia,Soltero,Cerca,24400,1,6,220.0,Bajo
55,Joven,Femenino,Alquilada,Soltero,Cerca,22100,2,18,280.0,Bajo
56,Media,Femenino,Propia,Casado,Cerca,74700,1,6,704.0,Medio
57,Joven,Femenino,Alquilada,Soltero,Lejos,32400,1,24,920.0,Medio
58,Media,Masculino,Alquilada,Soltero,Cerca,47200,0,18,1587.0,Medio
59,Media,Femenino,Propia,Soltero,Cerca,48700,2,12,528.0,Bajo
60,Joven,Masculino,Alquilada,Soltero,Lejos,20400,0,18,867.0,Medio
61,Joven,Femenino,Alquilada,Soltero,Cerca,12900,1,6,107.0,Bajo
62,Media,Femenino,Alquilada,Casado,Lejos,67300,1,18,1513.0,Alto
63,Adulta,Masculino,Propia,Casado,Cerca,134500,0,24,4558.0,Alto
64,Adulta,Masculino,Propia,Casado,Cerca,75500,0,6,741.0,Alto
65,Adulta,Femenino,Propia,Casado,Lejos,33600,2,12,805.0,Medio
66,Joven,Masculino,Alquilada,Casado,Cerca,27400,1,6,278.0,Bajo
67,Media,Femenino,Propia,Casado,Cerca,110400,3,24,1093.0,Bajo
68,Joven,Femenino,Alquilada,Soltero,Lejos,21100,1,6,470.0,Bajo
69,Media,Masculino,Propia,Casado,Cerca,81200,0,24,1856.0,Alto
70,Media,Masculino,Alquilada,Soltero,Lejos,59000,0,24,3044.0,Alto
71,Media,Femenino,Propia,Soltero,Cerca,52700,2,18,855.0,Bajo
72,Joven,Masculino,Propia,Soltero,Cerca,20900,0,24,550.0,Bajo
73,Media,Masculino,Propia,Casado,Lejos,90700,3,24,2265.0,Alto
74,Joven,Femenino,Propia,Soltero,Lejos,27900,0,18,1184.0,Medio
75,Adulta,Femenino,Propia,Casado,Cerca,70700,0,24,2150.0,Alto
76,Media,Masculino,Alquilada,Casado,Cerca,96400,1,24,1822.0,Alto
77,Adulta,Masculino,Propia,Casado,Cerca,106600,0,12,1877.0,Alto
78,Media,Femenino,Alquilada,Casado,Cerca,104900,3,6,450.0,Bajo
79,Adulta,Masculino,Alquilada,Soltero,Cerca,56300,0,6,873.0,Medio
80,Joven,Femenino,Alquilada,Soltero,Cerca,14800,1,6,209.0,Bajo
81,Adulta,Masculino,Propia,Casado,Cerca,58300,0,24,1472.0,Medio
82,Media,Masculino,Propia,Soltero,Lejos,70200,0,12,1702.0,Alto
83,Adulta,Masculino,Propia,Casado,Lejos,59700,0,18,1857.0,Alto
84,Joven,Femenino,Alquilada,Soltero,Cerca,12000,0,24,344.0,Bajo
85,Media,Masculino,Alquilada,Soltero,Lejos,51900,0,18,1492.0,Alto
86,Joven,Femenino,Alquilada,Soltero,Lejos,13800,3,6,127.0,Bajo
87,Media,Femenino,Propia,Casado,Lejos,44200,0,24,2524.0,Alto
88,Media,Femenino,Propia,Soltero,Cerca,35200,0,12,607.0,Medio
89,Media,Masculino,Propia,Casado,Cerca,113000,2,18,1554.0,Medio
90,Adulta,Femenino,Alquilada,Casado,Lejos,52500,0,24,2038.0,Alto
91,Media,Femenino,Alquilada,Casado,Lejos,45400,3,24,1203.0,Medio
92,Joven,Femenino,Propia,Casado,Lejos,68000,0,24,3688.0,Alto
93,Joven,Femenino,Alquilada,Soltero,Cerca,14600,1,6,143.0,Bajo
94,Adulta,Femenino,Propia,Casado,Lejos,100100,0,12,3104.0,Alto
95,Joven,Femenino,Alquilada,Soltero,Lejos,10800,3,6,123.0,Bajo
96,Media,Femenino,Propia,Casado,Cerca,81700,3,24,879.0,Bajo
97,Adulta,Femenino,Alquilada,Soltero,Cerca,21400,0,18,498.0,Bajo
98,Adulta,Femenino,Propia,Casado,Cerca,114800,0,18,3596.0,Alto
99,Adulta,Femenino,Propia,Casado,Lejos,67900,0,24,2925.0,Alto
100,Joven,Femenino,Alquilada,Soltero,Cerca,16400,1,12,218.0,Bajo
101,Media,Femenino,Propia,Casado,Lejos,109800,0,18,4279.0,Alto
102,Media,Femenino,Alquilada,Soltero,Cerca,41400,3,6,223.0,Bajo
103,Media,Femenino,Propia,Soltero,Cerca,49100,2,6,474.0,Bajo
104,Adulta,Femenino,Propia,Soltero,Lejos,42600,0,24,1790.0,Alto
105,Joven,Femenino,Alquilada,Soltero,Cerca,11900,1,6,143.0,Bajo
106,Media,Masculino,Propia,Casado,Lejos,113600,2,18,3237.0,Alto
107,Joven,Masculino,Alquilada,Soltero,Cerca,21000,0,24,646.0,Bajo
108,Media,Masculino,Propia,Soltero,Lejos,59600,2,18,1217.0,Medio
109,Media,Femenino,Alquilada,Soltero,Cerca,39700,3,12,238.0,Bajo
110,Adulta,Masculino,Propia,Casado,Cerca,51200,0,12,1293.0,Medio
111,Media,Masculino,Propia,Casado,Lejos,122100,0,12,2408.0,Alto
112,Adulta,Femenino,Alquilada,Casado,Cerca,84800,0,18,2624.0,Alto
113,Media,Masculino,Propia,Casado,Lejos,140000,0,12,4894.0,Alto
114,Adulta,Femenino,Propia,Soltero,Cerca,28500,0,24,621.0,Bajo
115,Media,Masculino,Alquilada,Soltero,Cerca,60300,0,6,701.0,Alto
116,Media,Masculino,Propia,Soltero,Cerca,60200,0,12,1365.0,Medio
117,Media,Masculino,Propia,Casado,Lejos,81200,0,12,2693.0,Alto
118,Adulta,Masculino,Propia,Casado,Cerca,73100,0,6,1582.0,Alto
119,Adulta,Masculino,Propia,Soltero,Cerca,45700,0,18,724.0,Medio
120,Adulta,Femenino,Alquilada,Soltero,Cerca,28900,0,12,830.0,Bajo
121,Adulta,Femenino,Propia,Casado,Cerca,35000,0,6,473.0,Medio
122,Joven,Masculino,Alquilada,Casado,Cerca,45800,0,6,489.0,Medio
123,Media,Masculino,Propia,Casado,Lejos,77800,1,18,1813.0,Alto
124,Media,Femenino,Alquilada,Soltero,Lejos,39000,3,6,292.0,Bajo
125,Joven,Femenino,Propia,Soltero,Cerca,27100,2,24,437.0,Bajo
126,Media,Femenino,Alquilada,Casado,Cerca,91000,2,6,708.0,Medio
127,Media,Femenino,Propia,Casado,Cerca,35300,0,24,1093.0,Medio
128,Joven,Femenino,Alquilada,Soltero,Cerca,12500,1,6,202.0,Bajo
129,Media,Masculino,Propia,Casado,Lejos,113400,3,18,1790.0,Alto
130,Joven,Femenino,Alquilada,Soltero,Cerca,16900,1,6,247.0,Bajo
131,Joven,Femenino,Alquilada,Soltero,Cerca,13600,1,6,183.0,Bajo
132,Media,Masculino,Propia,Casado,Lejos,100100,1,24,3491.0,Alto
133,Adulta,Femenino,Propia,Casado,Lejos,80000,0,6,1985.0,Alto
134,Media,Masculino,Propia,Casado,Cerca,83900,0,24,1721.0,Alto
135,Media,Masculino,Propia,Casado,Cerca,77000,0,12,2104.0,Alto
136,Media,Femenino,Alquilada,Casado,Cerca,72900,3,6,252.0,Bajo
137,Joven,Masculino,Alquilada,Casado,Cerca,80700,3,6,202.0,Bajo
138,Joven,Femenino,Alquilada,Casado,Cerca,40900,1,18,962.0,Medio
139,Media,Masculino,Propia,Casado,Cerca,54700,0,18,848.0,Medio
140,Adulta,Femenino,Alquilada,Casado,Cerca,23600,1,6,161.0,Bajo
141,Media,Masculino,Alquilada,Soltero,Lejos,56900,0,24,1857.0,Alto
142,Joven,Femenino,Alquilada,Soltero,Cerca,19300,1,24,308.0,Bajo
143,Joven,Masculino,Alquilada,Casado,Lejos,20200,1,24,500.0,Bajo
144,Media,Femenino,Alquilada,Casado,Lejos,61500,3,24,1162.0,Medio
145,Media,Femenino,Alquilada,Casado,Lejos,120800,1,24,5830.0,Alto
146,Media,Masculino,Alquilada,Soltero,Cerca,53300,0,18,1720.0,Medio
147,Media,Femenino,Alquilada,Soltero,Cerca,42800,0,12,759.0,Medio
148,Media,Masculino,Propia,Casado,Cerca,98400,0,18,3305.0,Alto
149,Media,Femenino,Propia,Soltero,Cerca,51200,0,18,1257.0,Medio
150,Media,Masculino,Propia,Casado,Cerca,109200,3,24,1102.0,Bajo
151,Joven,Femenino,Alquilada,Soltero,Cerca,14000,0,12,229.0,Bajo
152,Adulta,Femenino,Alquilada,Soltero,Lejos,15000,0,12,378.0,Bajo
153,Adulta,Masculino,Propia,Casado,Lejos,33000,0,12,979.0,Medio
154,Adulta,Femenino,Propia,Casado,Cerca,74400,0,18,2479.0,Alto
155,Joven,Masculino,Alquilada,Soltero,Lejos,20300,2,24,450.0,Bajo
156,Media,Masculino,Alquilada,Casado,Cerca,68700,0,24,2763.0,Alto
157,Joven,Masculino,Alquilada,Casado,Lejos,53600,3,24,1560.0,Medio
158,Adulta,Femenino,Propia,Soltero,Cerca,33200,0,24,1037.0,Medio
159,Joven,Masculino,Propia,Soltero,Cerca,41400,0,18,643.0,Medio
160,Adulta,Masculino,Propia,Casado,Cerca,107400,0,12,1485.0,Alto
161,Media,Femenino,Alquilada,Casado,Cerca,79900,1,18,1165.0,Medio
162,Media,Masculino,Propia,Casado,Lejos,120000,3,18,1926.0,Alto
163,Media,Femenino,Propia,Soltero,Cerca,54400,3,18,342.0,Bajo
164,Media,Masculino,Propia,Casado,Cerca,84200,0,24,1654.0,Alto
165,Joven,Femenino,Alquilada,Casado,Cerca,13800,0,18,363.0,Bajo
166,Joven,Femenino,Alquilada,Soltero,Lejos,14500,1,6,222.0,Bajo
167,Joven,Masculino,Alquilada,Soltero,Cerca,21300,0,24,677.0,Bajo
168,Adulta,Masculino,Alquilada,Soltero,Cerca,29000,0,6,482.0,Bajo
169,Adulta,Femenino,Alquilada,Soltero,Cerca,14600,1,24,385.0,Bajo
170,Adulta,Masculino,Propia,Soltero,Cerca,65300,0,18,1443.0,Alto
171,Media,Femenino,Propia,Casado,Cerca,100800,1,24,1789.0,Alto
172,Joven,Femenino,Alquilada,Soltero,Lejos,19800,1,24,991.0,Bajo
173,Media,Masculino,Propia,Soltero,Cerca,56700,2,18,536.0,Bajo
174,Adulta,Masculino,Alquilada,Casado,Cerca,90200,0,18,2183.0,Alto
175,Joven,Femenino,Alquilada,Soltero,Cerca,15900,0,18,503.0,Bajo
176,Media,Masculino,Propia,Casado,Cerca,96100,3,12,316.0,Bajo
177,Media,Masculino,Propia,Casado,Lejos,82400,2,24,2035.0,Alto
178,Adulta,Masculino,Propia,Soltero,Lejos,62000,0,24,3293.0,Alto
179,Joven,Femenino,Alquilada,Soltero,Cerca,13400,1,12,143.0,Bajo
180,Media,Masculino,Propia,Casado,Cerca,108200,3,12,635.0,Bajo
181,Joven,Femenino,Propia,Casado,Cerca,76200,0,12,979.0,Alto
182,Media,Masculino,Alquilada,Casado,Cerca,81800,1,18,1838.0,Alto
183,Joven,Femenino,Alquilada,Soltero,Lejos,12000,0,6,264.0,Bajo
184,Media,Masculino,Propia,Casado,Cerca,82100,1,18,1308.0,Alto
185,Adulta,Femenino,Propia,Casado,Cerca,103300,0,24,3378.0,Alto
186,Media,Femenino,Propia,Soltero,Lejos,47500,0,6,847.0,Alto
187,Joven,Femenino,Alquilada,Soltero,Cerca,31300,1,6,357.0,Bajo
188,Media,Masculino,Propia,Casado,Cerca,72200,0,24,2492.0,Alto
189,Media,Femenino,Propia,Casado,Cerca,107600,2,12,1512.0,Medio
190,Media,Femenino,Propia,Casado,Cerca,65400,2,24,938.0,Medio
191,Adulta,Femenino,Propia,Soltero,Cerca,51900,0,12,1148.0,Medio
192,Media,Femenino,Alquilada,Soltero,Cerca,42700,0,12,827.0,Medio
193,Joven,Femenino,Alquilada,Soltero,Cerca,14500,1,6,183.0,Bajo
194,Joven,Masculino,Alquilada,Casado,Cerca,36700,0,12,731.0,Medio
195,Adulta,Masculino,Propia,Casado,Lejos,54600,0,24,2163.0,Alto
196,Media,Masculino,Propia,Casado,Cerca,65900,1,12,1081.0,Medio
197,Media,Femenino,Propia,Casado,Lejos,102800,2,18,2238.0,Alto
198,Media,Masculino,Alquilada,Casado,Cerca,106700,2,6,607.0,Medio
199,Media,Masculino,Alquilada,Soltero,Cerca,53900,1,6,735.0,Medio
200,Joven,Femenino,Alquilada,Casado,Cerca,25500,2,6,139.0,Bajo
201,Joven,Masculino,Alquilada,Casado,Lejos,46300,1,18,1357.0,Medio
202,Adulta,Masculino,Propia,Casado,Cerca,55500,0,18,858.0,Medio
203,Adulta,Masculino,Alquilada,Soltero,Cerca,42800,0,12,922.0,Medio
204,Media,Femenino,Propia,Casado,Lejos,118300,1,12,2502.0,Alto
205,Adulta,Femenino,Propia,Soltero,Cerca,30900,0,18,862.0,Medio
206,Adulta,Masculino,Propia,Casado,Cerca,84300,0,24,2842.0,Alto
207,Adulta,Masculino,Propia,Soltero,Cerca,53400,1,12,886.0,Medio
208,Media,Masculino,Propia,Casado,Cerca,96900,1,12,1420.0,Alto
209,Joven,Femenino,Alquilada,Casado,Cerca,25900,1,6,242.0,Bajo
210,Joven,Femenino,Alquilada,Soltero,Cerca,22000,1,12,472.0,Bajo
211,Media,Femenino,Alquilada,Casado,Cerca,96700,2,12,1231.0,Medio
212,Adulta,Masculino,Propia,Casado,Cerca,26800,0,12,435.0,Bajo
213,Joven,Femenino,Alquilada,Soltero,Cerca,16700,2,12,108.0,Bajo
214,Joven,Femenino,Alquilada,Casado,Cerca,69700,2,6,584.0,Medio
215,Media,Masculino,Alquilada,Soltero,Cerca,61800,0,24,1156.0,Alto
216,Media,Masculino,Propia,Casado,Cerca,102500,1,24,2464.0,Alto
217,Joven,Masculino,Alquilada,Casado,Lejos,41600,0,24,1690.0,Alto
218,Media,Masculino,Propia,Soltero,Cerca,73700,1,12,1274.0,Medio
219,Media,Femenino,Alquilada,Soltero,Cerca,43700,0,12,950.0,Medio
220,Media,Femenino,Propia,Casado,Cerca,63300,2,24,679.0,Medio
221,Joven,Femenino,Propia,Soltero,Lejos,33200,2,12,607.0,Medio
222,Adulta,Femenino,Propia,Casado,Lejos,78800,0,18,3398.0,Alto
223,Media,Masculino,Propia,Casado,Cerca,82500,0,6,859.0,Alto
224,Media,Masculino,Propia,Soltero,Lejos,80800,2,18,2444.0,Alto
225,Media,Masculino,Propia,Casado,Cerca,88100,2,24,1078.0,Medio
226,Media,Masculino,Alquilada,Casado,Lejos,124800,3,18,2537.0,Alto
227,Joven,Masculino,Propia,Soltero,Cerca,31900,0,6,616.0,Medio
228,Adulta,Masculino,Propia,Casado,Lejos,15400,0,6,297.0,Bajo
229,Joven,Femenino,Alquilada,Soltero,Cerca,23000,3,6,79.0,Bajo
230,Media,Femenino,Propia,Casado,Cerca,82400,2,18,657.0,Medio
231,Media,Femenino,Propia,Casado,Cerca,97900,0,24,2149.0,Alto
232,Adulta,Femenino,Alquilada,Casado,Lejos,88400,0,18,3632.0,Alto
233,Media,Femenino,Propia,Casado,Cerca,86900,0,18,2230.0,Alto
234,Media,Femenino,Propia,Soltero,Cerca,45100,1,12,448.0,Medio
235,Media,Masculino,Alquilada,Soltero,Cerca,41800,3,24,301.0,Bajo
236,Adulta,Masculino,Propia,Casado,Cerca,74800,0,18,1968.0,Alto
237,Media,Femenino,Alquilada,Casado,Cerca,73000,1,6,490.0,Medio
238,Media,Masculino,Propia,Casado,Cerca,118500,1,24,3063.0,Alto
239,Media,Masculino,Propia,Soltero,Cerca,65300,3,6,193.0,Bajo
240,Media,Femenino,Alquilada,Casado,Cerca,66300,2,12,544.0,Medio
241,Media,Masculino,Propia,Casado,Lejos,103900,1,24,2666.0,Alto
242,Media,Femenino,Propia,Casado,Cerca,71900,0,18,1846.0,Alto
243,Adulta,Femenino,Propia,Soltero,Lejos,24000,1,6,357.0,Bajo
244,Media,Femenino,Alquilada,Casado,Cerca,46700,0,24,983.0,Medio
245,Joven,Femenino,Alquilada,Soltero,Cerca,12100,1,6,90.0,Bajo
246,Adulta,Masculino,Propia,Casado,Cerca,66300,0,12,1088.0,Alto
247,Media,Femenino,Propia,Soltero,Cerca,47900,1,24,662.0,Medio
248,Media,Femenino,Alquilada,Casado,Cerca,40500,2,18,622.0,Bajo
249,Adulta,Masculino,Propia,Soltero,Cerca,69100,0,12,1477.0,Alto
250,Media,Femenino,Alquilada,Casado,Lejos,75800,1,12,1830.0,Alto
251,Media,Femenino,Alquilada,Casado,Cerca,48600,0,24,1583.0,Medio
252,Adulta,Femenino,Propia,Soltero,Cerca,39600,0,12,610.0,Medio
253,Joven,Femenino,Alquilada,Soltero,Cerca,11700,0,12,193.0,Bajo
254,Joven,Masculino,Alquilada,Casado,Cerca,52600,1,12,1052.0,Medio
255,Adulta,Masculino,Propia,Casado,Cerca,123000,0,24,3671.0,Alto
256,Adulta,Femenino,Alquilada,Casado,Lejos,64600,0,18,2206.0,Alto
257,Media,Femenino,Propia,Soltero,Lejos,34600,2,18,748.0,Medio
258,Media,Masculino,Propia,Casado,Cerca,74500,0,6,1481.0,Alto
259,Joven,Femenino,Alquilada,Soltero,Lejos,18400,1,6,303.0,Bajo
260,Joven,Masculino,Alquilada,Soltero,Cerca,25000,0,6,264.0,Bajo
261,Media,Masculino,Propia,Casado,Lejos,61400,1,24,1575.0,Alto
262,Media,Masculino,Propia,Casado,Cerca,76400,2,18,881.0,Medio
263,Joven,Masculino,Propia,Casado,Cerca,55100,0,18,1439.0,Medio
264,Adulta,Femenino,Propia,Casado,Cerca,10100,1,6,93.0,Bajo
265,Joven,Masculino,Alquilada,Soltero,Cerca,17800,0,18,292.0,Bajo
266,Joven,Femenino,Alquilada,Soltero,Lejos,19700,2,6,330.0,Bajo
267,Media,Masculino,Propia,Casado,Lejos,73800,0,24,3120.0,Alto
268,Media,Masculino,Propia,Casado,Lejos,113300,1,18,5151.0,Alto
269,Joven,Femenino,Alquilada,Casado,Lejos,30100,0,12,530.0,Medio
270,Media,Femenino,Propia,Soltero,Cerca,43500,1,12,500.0,Medio
271,Media,Masculino,Propia,Casado,Cerca,97500,0,18,2837.0,Alto
272,Adulta,Masculino,Propia,Casado,Cerca,54600,0,24,1246.0,Medio
273,Adulta,Masculino,Propia,Casado,Lejos,62300,0,24,2644.0,Alto
274,Media,Femenino,Alquilada,Soltero,Lejos,35600,3,18,865.0,Bajo
275,Media,Masculino,Propia,Casado,Cerca,96900,0,6,1159.0,Alto
276,Media,Femenino,Alquilada,Casado,Cerca,93500,1,18,1426.0,Alto
277,Joven,Masculino,Alquilada,Soltero,Cerca,21900,0,12,276.0,Bajo
278,Media,Masculino,Alquilada,Soltero,Cerca,63000,0,24,1910.0,Alto
279,Media,Masculino,Propia,Soltero,Cerca,44600,2,6,236.0,Bajo
280,Media,Masculino,Alquilada,Soltero,Lejos,45100,1,12,794.0,Medio
281,Adulta,Femenino,Propia,Casado,Cerca,74900,0,12,1474.0,Alto
282,Joven,Masculino,Alquilada,Soltero,Cerca,14200,0,6,250.0,Bajo
283,Adulta,Masculino,Propia,Casado,Lejos,41300,0,24,1985.0,Alto
284,Adulta,Femenino,Propia,Soltero,Lejos,32700,0,24,1252.0,Medio
285,Media,Masculino,Propia,Casado,Cerca,97400,1,6,880.0,Alto
286,Joven,Femenino,Alquilada,Soltero,Lejos,23100,2,6,466.0,Bajo
287,Media,Masculino,Propia,Soltero,Cerca,49200,3,12,210.0,Bajo
288,Media,Masculino,Propia,Casado,Cerca,87200,0,18,1274.0,Alto
289,Media,Masculino,Propia,Casado,Cerca,66900,0,12,1220.0,Alto
290,Media,Femenino,Propia,Soltero,Cerca,47600,1,12,801.0,Medio
291,Media,Masculino,Propia,Soltero,Cerca,59400,0,18,1699.0,Medio
292,Media,Femenino,Alquilada,Soltero,Cerca,32700,2,6,273.0,Bajo
293,Media,Masculino,Alquilada,Soltero,Cerca,34200,1,18,523.0,Bajo
294,Media,Femenino,Propia,Casado,Cerca,126300,1,6,1888.0,Alto
295,Media,Femenino,Propia,Casado,Lejos,108100,3,18,2632.0,Alto
296,Media,Femenino,Alquilada,Soltero,Cerca,43300,3,24,326.0,Bajo
297,Media,Masculino,Propia,Soltero,Lejos,50100,1,18,1071.0,Alto
298,Adulta,Femenino,Propia,Casado,Cerca,74700,0,12,1699.0,Alto
299,Adulta,Masculino,Alquilada,Casado,Cerca,60000,0,6,966.0,Medio
300,Media,Femenino,Alquilada,Soltero,Cerca,25700,2,6,173.0,Bajo
301,Media,Masculino,Propia,Casado,Cerca,83700,0,24,3344.0,Alto
302,Media,Masculino,Alquilada,Soltero,Cerca,50500,0,12,1029.0,Medio
303,Joven,Femenino,Alquilada,Soltero,Cerca,17300,0,12,345.0,Bajo
304,Adulta,Masculino,Propia,Casado,Cerca,108900,0,12,1841.0,Alto
305,Media,Femenino,Alquilada,Casado,Cerca,60500,2,6,409.0,Bajo
306,Adulta,Femenino,Propia,Casado,Lejos,84100,0,18,2710.0,Alto
307,Joven,Masculino,Alquilada,Casado,Lejos,25100,0,12,592.0,Medio
308,Media,Femenino,Propia,Casado,Cerca,72200,2,18,715.0,Medio
309,Adulta,Femenino,Propia,Casado,Lejos,78900,0,18,2233.0,Alto
310,Joven,Femenino,Alquilada,Soltero,Cerca,17800,1,6,216.0,Bajo
311,Media,Femenino,Propia,Casado,Cerca,105500,1,6,1781.0,Alto
312,Media,Femenino,Propia,Soltero,Cerca,46100,2,12,418.0,Bajo
313,Joven,Masculino,Alquilada,Soltero,Cerca,27100,1,12,268.0,Bajo
314,Joven,Femenino,Alquilada,Soltero,Cerca,12000,0,6,140.0,Bajo
315,Media,Femenino,Propia,Soltero,Cerca,48400,0,12,992.0,Medio
316,Media,Masculino,Alquilada,Soltero,Cerca,45600,0,18,1388.0,Medio
317,Media,Femenino,Propia,Soltero,Cerca,35200,2,6,233.0,Bajo
318,Media,Masculino,Alquilada,Soltero,Lejos,60200,0,24,2304.0,Alto
319,Media,Femenino,Alquilada,Casado,Lejos,53900,1,18,2177.0,Alto
320,Joven,Masculino,Alquilada,Casado,Cerca,36900,0,18,721.0,Medio
321,Adulta,Femenino,Propia,Soltero,Cerca,36100,0,12,438.0,Medio
322,Media,Femenino,Propia,Casado,Lejos,88600,1,18,2563.0,Alto
323,Media,Masculino,Alquilada,Casado,Cerca,79500,0,18,1763.0,Alto
324,Joven,Femenino,Alquilada,Soltero,Cerca,18900,1,6,184.0,Bajo
325,Adulta,Femenino,Propia,Soltero,Cerca,17300,0,6,166.0,Bajo
326,Media,Masculino,Propia,Casado,Cerca,76700,1,24,1431.0,Medio
327,Media,Masculino,Propia,Casado,Lejos,123000,1,24,5878.0,Alto
328,Media,Masculino,Propia,Soltero,Cerca,56300,3,6,321.0,Bajo
329,Media,Masculino,Propia,Casado,Cerca,70000,0,24,1974.0,Alto
330,Media,Masculino,Propia,Soltero,Cerca,48100,0,18,1640.0,Medio
331,Media,Femenino,Propia,Casado,Cerca,63700,3,12,364.0,Bajo
332,Media,Masculino,Alquilada,Soltero,Cerca,53900,0,12,1060.0,Medio
333,Adulta,Femenino,Propia,Casado,Cerca,118800,0,18,2176.0,Alto
334,Media,Femenino,Propia,Casado,Cerca,79400,3,6,200.0,Bajo
335,Adulta,Femenino,Propia,Soltero,Cerca,17600,0,6,224.0,Bajo
336,Joven,Masculino,Alquilada,Soltero,Cerca,23500,0,12,371.0,Bajo
337,Joven,Masculino,Alquilada,Casado,Cerca,56900,2,12,687.0,Bajo
338,Media,Masculino,Propia,Casado,Cerca,95100,2,12,809.0,Medio
339,Media,Masculino,Propia,Casado,Cerca,119800,2,24,2090.0,Medio
340,Media,Femenino,Propia,Casado,Cerca,76700,2,6,534.0,Medio
341,Media,Masculino,Propia,Casado,Cerca,67600,1,18,1172.0,Medio
342,Adulta,Femenino,Propia,Casado,Cerca,72900,0,6,753.0,Alto
343,Adulta,Femenino,Alquilada,Soltero,Cerca,21200,0,6,242.0,Bajo
344,Adulta,Masculino,Alquilada,Soltero,Cerca,32400,1,12,515.0,Bajo
345,Adulta,Femenino,Propia,Soltero,Cerca,24400,0,6,491.0,Bajo
346,Media,Masculino,Propia,Casado,Cerca,66500,3,12,286.0,Bajo
347,Adulta,Femenino,Alquilada,Casado,Lejos,72200,0,24,3069.0,Alto
348,Adulta,Femenino,Propia,Soltero,Lejos,22000,0,12,736.0,Medio
349,Joven,Femenino,Alquilada,Soltero,Cerca,18800,2,18,170.0,Bajo
350,Joven,Femenino,Alquilada,Soltero,Cerca,26600,2,24,245.0,Bajo
351,Media,Femenino,Alquilada,Casado,Cerca,72100,0,24,3052.0,Alto
352,Media,Masculino,Propia,Soltero,Lejos,55600,0,18,1786.0,Alto
353,Joven,Femenino,Alquilada,Soltero,Cerca,14600,3,6,47.0,Bajo
354,Adulta,Masculino,Propia,Casado,Cerca,45900,0,24,1645.0,Medio
355,Joven,Femenino,Propia,Soltero,Cerca,15100,0,6,274.0,Bajo
356,Media,Masculino,Propia,Casado,Cerca,140700,3,12,1001.0,Medio
357,Media,Masculino,Propia,Casado,Cerca,90300,0,24,1944.0,Alto
358,Adulta,Masculino,Propia,Casado,Cerca,95900,0,24,2585.0,Alto
359,Joven,Masculino,Alquilada,Soltero,Cerca,17700,1,12,268.0,Bajo
360,Media,Masculino,Propia,Casado,Cerca,102400,1,18,1237.0,Alto
361,Joven,Masculino,Alquilada,Soltero,Lejos,13800,1,12,368.0,Bajo
362,Media,Femenino,Alquilada,Soltero,Cerca,50500,1,12,940.0,Medio
363,Media,Femenino,Alquilada,Soltero,Cerca,42000,3,18,232.0,Bajo
364,Media,Masculino,Propia,Casado,Cerca,95800,3,12,678.0,Bajo
365,Joven,Masculino,Alquilada,Soltero,Cerca,15800,2,12,147.0,Bajo
366,Adulta,Femenino,Alquilada,Casado,Cerca,38200,0,6,526.0,Medio
367,Media,Femenino,Alquilada,Soltero,Cerca,39900,1,12,586.0,Bajo
368,Adulta,Femenino,Propia,Casado,Cerca,65900,0,24,1436.0,Alto
369,Media,Femenino,Propia,Casado,Cerca,97500,1,12,1280.0,Alto
370,Media,Masculino,Alquilada,Casado,Lejos,63000,0,18,2107.0,Alto
371,Adulta,Femenino,Propia,Casado,Lejos,12600,2,12,164.0,Bajo
372,Media,Masculino,Alquilada,Soltero,Cerca,50700,3,6,157.0,Bajo
373,Joven,Femenino,Alquilada,Soltero,Cerca,17900,3,6,62.0,Bajo
374,Joven,Femenino,Alquilada,Soltero,Cerca,14400,1,18,223.0,Bajo
